"kod";"adres";"miejscowosc";"wojewodztwo";"powiat"
"45-850";"ul. Marzanny";"Opole";"opolskie";"Opole"
"45-852";"ul. KsiÍdza DomaÒskiego Boles≥awa od 79 do ostatniego";"Opole";"opolskie";"Opole"
"45-853";"ul. KsiÍdza DomaÒskiego Boles≥awa od 82 do ostatniego";"Opole";"opolskie";"Opole"
"45-854";"ul. ZwyciÍstwa od 1 do ostatniego";"Opole";"opolskie";"Opole"
"45-855";"ul. ZwyciÍstwa od 2 do ostatniego";"Opole";"opolskie";"Opole"
"45-856";"ul. Lelewela Joachima od 1 do ostatniego";"Opole";"opolskie";"Opole"
"45-857";"ul. Lelewela Joachima od 2 do ostatniego";"Opole";"opolskie";"Opole"
"45-858";"ul. Kasprzaka Marcina od 1 do ostatniego";"Opole";"opolskie";"Opole"
"45-859";"ul. Kasprzaka Marcina od 2 do ostatniego";"Opole";"opolskie";"Opole"
"45-860";"ul. Dambonia Alojzego od 1 do ostatniego";"Opole";"opolskie";"Opole"
"45-861";"ul. Dambonia Alojzego od 2 do ostatniego";"Opole";"opolskie";"Opole"
"45-862";"ul. Wojska Polskiego od 1 do 15";"Opole";"opolskie";"Opole"
"45-863";"ul. Wojska Polskiego od 2 do ostatniego";"Opole";"opolskie";"Opole"
"45-864";"ul. NiemodliÒska od 59 do ostatniego";"Opole";"opolskie";"Opole"
"45-865";"Poczta Opole 012, ul. Dambonia 17";"Opole";"opolskie";"Opole"
"45-865";"Skrytki Pocztowe Poczta Opole 012, ul. Dambonia 17";"Opole";"opolskie";"Opole"
"45-865";"ul. NiemodliÒska od 52 do ostatniego";"Opole";"opolskie";"Opole"
"45-867";"ul. Hallera JÛzefa";"Opole";"opolskie";"Opole"
"45-899";"Instytucja TP S.A. Obszar Relacji z Klientami, ul. Sosnkowskiego Kazimierza 20";"Opole";"opolskie";"Opole"
"45-910";"Instytucja ZUS oddzia≥ Opole, ul. Wroc≥awska 24";"Opole";"opolskie";"Opole"
"46-020";"Poczta Czarnowπsy, Pl. Klasztorny 8/1";"Czarnowπsy";"opolskie";"opolski"
"46-020";"ul. Krzanowicka";"Opole";"opolskie";"Opole"
"46-021";"Poczta Brzezie ko≥o Opola";"Brzezie";"opolskie";"opolski"
"46-022";"Poczta Luboszyce ko≥o Opola, ul. Opolska 18";"Luboszyce";"opolskie";"opolski"
"46-023";"Poczta Turawa";"Osowiec ålπski";"opolskie";"opolski"
"46-024";"Poczta £ubniany, ul. Opolska 49";"£ubniany";"opolskie";"opolski"
"46-030";"Poczta MurÛw, ul. Dworcowa 4";"MurÛw";"opolskie";"opolski"
"46-034";"Poczta PokÛj, ul. 1 Maja 9";"PokÛj";"opolskie";"namys≥owski"
"46-034";"Skrytki Pocztowe Poczta PokÛj, ul. 1 Maja 9";"PokÛj";"opolskie";"namys≥owski"
"46-037";"Poczta PopielÛw, ul. Kolejowa 8";"Kar≥owice";"opolskie";"opolski"
"46-040";"Poczta Ozimek, ul. PowstaÒcÛw ålπskich 3";"Ozimek";"opolskie";"opolski"
"46-040";"Skrytki Pocztowe Poczta Ozimek, ul. PowstaÒcÛw ålπskich 3";"Ozimek";"opolskie";"opolski"
"46-042";"Poczta Ozimek, ul. 1 Maja 20";"Szczedrzyk";"opolskie";"opolski"
"46-043";"Poczta Ozimek, ul. Ozimska 27";"Dylaki";"opolskie";"opolski"
"46-045";"Poczta Turawa, ul. Opolska 17";"Turawa";"opolskie";"opolski"
"46-045";"Skrytki Pocztowe Poczta Turawa, ul. Opolska 17";"Turawa";"opolskie";"opolski"
"46-046";"Poczta Turawa";"Ligota Turawska";"opolskie";"opolski"
"46-047";"Poczta ZÍbowice, ul. Stawowa 82";"Radawie";"opolskie";"oleski"
"46-048";"Poczta ZÍbowice, ul. Murka 1";"ZÍbowice";"opolskie";"oleski"
"46-050";"Poczta TarnÛw Opolski, ul. Dworcowa 2";"TarnÛw Opolski";"opolskie";"opolski"
"46-050";"Skrytki Pocztowe Poczta TarnÛw Opolski, ul. Dworcowa 2";"TarnÛw Opolski";"opolskie";"opolski"
"46-053";"Poczta Chrzπstowice, ul. Dworcowa 38";"Chrzπstowice";"opolskie";"opolski"
"46-060";"Poczta PrÛszkÛw ko≥o Opola, ul. Zawadzkiego 16";"PrÛszkÛw";"opolskie";"opolski"
"46-061";"Poczta PrÛszkÛw ko≥o Opola, ul. JÍdrzejczyka 8";"èlinice";"opolskie";"opolski"
"46-070";"Poczta Komprachcice, ul. Szkolna 15";"Komprachcice";"opolskie";"opolski"
"46-073";"Poczta ChrÛúcina Opolska, ul. Kolejowa 51 A";"ChrÛúcina";"opolskie";"opolski"
"46-080";"Poczta ChrÛúcice, ul. Korfantego 21";"ChrÛúcice";"opolskie";"opolski"
"46-081";"Poczta DobrzeÒ Wielki, ul. Namys≥owska 44";"DobrzeÒ Wielki";"opolskie";"opolski"
"46-081";"Skrytki Pocztowe Poczta DobrzeÒ Wielki, ul. Namys≥owska 44";"DobrzeÒ Wielki";"opolskie";"opolski"
"46-082";"Poczta Kup, ul. Brynicka 19 B";"Kup";"opolskie";"opolski"
"46-083";"Poczta PiopielÛw, ul. Pocztowa 4";"Stare Sio≥kowice";"opolskie";"opolski"
"46-090";"Poczta PopielÛw, ul. Wolnoúci 10 A";"PopielÛw";"opolskie";"opolski"
"46-090";"Skrytki Pocztowe Poczta PopielÛw, ul. Wolnoúci 10 A";"PopielÛw";"opolskie";"opolski"
"46-100";"Poczta Namys≥Ûw, ul. Pocztowa 13";"Namys≥Ûw";"opolskie";"namys≥owski"
"46-100";"Skrytki Pocztowe Poczta Namys≥Ûw, ul. Pocztowa 13";"Namys≥Ûw";"opolskie";"namys≥owski"
"46-112";"Poczta Namys≥Ûw";"åwierczÛw";"opolskie";"namys≥owski"
"46-112";"Skrytki Pocztowe Poczta Namys≥Ûw";"åwierczÛw";"opolskie";"namys≥owski"
"46-113";"Poczta Namys≥Ûw";"WilkÛw";"opolskie";"namys≥owski"
"46-115";"Poczta Namys≥Ûw, ul. Bukowie 68";"Bukowie";"opolskie";"namys≥owski"
"46-125";"Poczta Idzikowice";"Idzikowice";"opolskie";"namys≥owski"
"46-134";"Poczta Namys≥Ûw";"G≥uszyna";"opolskie";"namys≥owski"
"46-142";"Poczta Namys≥Ûw";"Bukowa ålπska";"opolskie";"namys≥owski"
"46-146";"Poczta Namys≥Ûw";"Domaszowice";"opolskie";"namys≥owski"
"46-166";"Poczta Namys≥Ûw";"Ligota KsiπøÍca";"opolskie";"namys≥owski"
"46-200";"Poczta Kluczbork 001, ul. Mickiewicza 6";"Kluczbork";"opolskie";"kluczborski"
"46-200";"Skrytki Pocztowe Poczta Kluczbork 001, ul. Mickiewicza 6";"Kluczbork";"opolskie";"kluczborski"
"46-203";"Poczta Kluczbork 003, ul. Ligonia 14A";"Kluczbork";"opolskie";"kluczborski"
"46-203";"Skrytki Pocztowe Poczta Kluczbork 003, ul. Ligonia 14A";"Kluczbork";"opolskie";"kluczborski"
"46-211";"Poczta Kluczbork";"Kujakowice GÛrne";"opolskie";"kluczborski"
"46-220";"Poczta Byczyna, ul. Stawowa 1";"Byczyna";"opolskie";"kluczborski"
"46-220";"Skrytki Pocztowe Poczta Byczyna, ul. Stawowa 1";"Byczyna";"opolskie";"kluczborski"
"46-233";"Poczta Kluczbork, ul. Wolnoúci 34";"BπkÛw";"opolskie";"kluczborski"
"46-233";"Skrytki Pocztowe Poczta Kluczbork, ul. Wolnoúci 34";"BπkÛw";"opolskie";"kluczborski"
"46-243";"Poczta Kluczbork, ul. Koúcielna 6";"Bogacica";"opolskie";"kluczborski"
"46-250";"Poczta Wo≥czyn, ul. Dworcowa 34";"Wo≥czyn";"opolskie";"kluczborski"
"46-250";"Skrytki Pocztowe Poczta Wo≥czyn, ul. Dworcowa 34";"Wo≥czyn";"opolskie";"kluczborski"
"46-255";"Poczta Wierzbica GÛrna, ul. Wierzbica GÛrna 64";"Wierzbica GÛrna";"opolskie";"kluczborski"
"46-262";"Poczta Wo≥czyn";"Ska≥πgi";"opolskie";"kluczborski"
"46-264";"Poczta Wo≥czyn, ul. Wo≥czynska 40";"Krzywiczyny";"opolskie";"kluczborski"
"46-275";"Poczta Lasowice Wielkie";"Chudoba";"opolskie";"kluczborski"
"46-280";"Poczta Lasowice Wielkie";"Lasowice Ma≥e";"opolskie";"kluczborski"
"46-282";"Poczta Lasowice Wielkie, ul. Wiejska 81";"Lasowice Wielkie";"opolskie";"kluczborski"
"46-300";"Poczta Olesno, ul. Lompy 23";"Olesno";"opolskie";"oleski"
"46-300";"Skrytki Pocztowe Poczta Olesno, ul. Lompy 23";"Olesno";"opolskie";"oleski"
"46-310";"Poczta GorzÛw ålπski, ul. Wojska Polskiego 19";"GorzÛw ålπski";"opolskie";"oleski"
"46-310";"Skrytki Pocztowe Poczta GorzÛw ålπski, ul. Wojska Polskiego 19";"GorzÛw ålπski";"opolskie";"oleski"
"46-312";"Poczta Bodzanowice, ul. PowstaÒcÛw ålπskich 1";"Bodzanowice";"opolskie";"oleski"
"46-320";"Poczta Praszka, ul. Koúciuszki 13";"Praszka";"opolskie";"oleski"
"46-320";"Skrytki Pocztowe Poczta Praszka, ul. Koúciuszki 13";"Praszka";"opolskie";"oleski"
"46-321";"Poczta Rudniki ko≥o Wielunia, ul. DalachÛw 305";"DalachÛw";"opolskie";"oleski"
"46-324";"Poczta Rad≥Ûw ko≥o Olesna, ul. Koúcieliska 68";"Koúcieliska";"opolskie";"oleski"
"46-325";"Poczta Rudniki ko≥o Wielunia, ul. Narutowicza 3";"Rudniki";"opolskie";"oleski"
"46-331";"Poczta Rad≥Ûw ko≥o Olesna, ul. Oleska 2";"Rad≥Ûw";"opolskie";"oleski"
"46-333";"Poczta Rad≥Ûw ko≥o Olesna, ul. Sternalice 64 a";"Sternalice";"opolskie";"oleski"
"46-375";"Poczta DobrodzieÒ, ul. Leúna 4";"Pludry";"opolskie";"oleski"
"46-380";"Poczta DobrodzieÒ, ul. Piastowska 9";"DobrodzieÒ";"opolskie";"oleski"
"46-380";"Skrytki Pocztowe Poczta DobrodzieÒ, ul. Piastowska 9";"DobrodzieÒ";"opolskie";"oleski"
"47-100";"Poczta Strzelce Opolskie, ul. Prawego Marka 18";"Strzelce Opolskie";"opolskie";"strzelecki"
"47-100";"Skrytki Pocztowe Poczta Strzelce Opolskie, ul. Prawego Marka 18";"Strzelce Opolskie";"opolskie";"strzelecki"
"47-110";"Poczta Kolonowskie 001, ul. Kolejowa 8";"Kolonowskie";"opolskie";"strzelecki"
"47-110";"Skrytki Pocztowe Poczta Kolonowskie 001, ul. Kolejowa 8";"Kolonowskie";"opolskie";"strzelecki"
"47-113";"Poczta Kolonowskie 003, ul. Dworcowa 2";"Kolonowskie";"opolskie";"strzelecki"
"47-113";"Skrytki Pocztowe Poczta Kolonowskie 003, ul. Dworcowa 2";"Kolonowskie";"opolskie";"strzelecki"
"47-120";"Poczta Zawadzkie, ul. Dworcowa 3";"Zawadzkie";"opolskie";"strzelecki"
"47-120";"Skrytki Pocztowe Poczta Zawadzkie, ul. Dworcowa 3";"Zawadzkie";"opolskie";"strzelecki"
"47-126";"Poczta Zawadzkie, ul. KsiÍdza Wajdy 39";"Kielcza";"opolskie";"strzelecki"
"47-133";"Poczta Jemielnica, ul. Korfantego 8";"Jemielnica";"opolskie";"strzelecki"
"47-134";"Poczta Strzelce Opolskie 001, ul. Wiejska 10";"B≥otnica Strzelecka";"opolskie";"strzelecki"
"47-143";"Poczta Ujazd ålπski, Pl. 1 Maja 3";"Ujazd";"opolskie";"strzelecki"
"47-150";"Poczta Leúnica Opolska, ul. Szpitalna 4";"Leúnica";"opolskie";"strzelecki"
"47-150";"Skrytki Pocztowe Poczta Leúnica Opolska, ul. Szpitalna 4";"Leúnica";"opolskie";"strzelecki"
"47-154";"Poczta GÛra åwiÍtej Anny, ul. Leúnicka 14";"GÛra åwiÍtej Anny";"opolskie";"strzelecki"
"47-161";"Poczta Strzelce Opolskie 001, ul. Wolnoúci 27";"SzymiszÛw";"opolskie";"strzelecki"
"47-171";"Poczta Strzelce Opolskie 001, ul. PowstaÒcÛw ålπskich 22";"Rozmierz";"opolskie";"strzelecki"
"47-175";"Poczta Strzelce Opolskie 001, ul. Dworcowa 28";"Kad≥ub";"opolskie";"strzelecki"
"47-180";"Poczta Izbicko, ul. GogoliÒska 6";"Izbicko";"opolskie";"strzelecki"
"47-180";"Skrytki Pocztowe Poczta Izbicko, ul. GogoliÒska 6";"Izbicko";"opolskie";"strzelecki"
"47-200";"Poczta KÍdzierzyn-Koüle 001, ul. £ukasiewicza 3";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"Skrytki Pocztowe Poczta KÍdzierzyn-Koüle 001, ul. £ukasiewicza 3";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. 24 Kwietnia";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Anny";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Archimedesa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. ArtylerzystÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. B≥Íkitna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. BaczyÒskiego Krzysztofa Kamila";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Balwirczaka JÛzefa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. BoÒczyka Norberta";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. BohaterÛw Westerplatte";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Boles≥awa Chrobrego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Bukowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Cmentarna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Czechowa Antoniego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Doktora CzerwiÒskiego Wojciecha";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Dunajewskiego Isaaka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Dunikowskiego Xawerego od 16 do ostatniego, od 23 do ostatniego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Filtrowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. G≥Ûwna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. G≥ubczycka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Garncarska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Gazowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. GrenadierÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Husarska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. KadetÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Karpacka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Klonowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Kochanowskiego Jana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Kolejowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Konopnickiej Marii";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Kopernika Miko≥aja";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. KosynierÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. KrasiÒskiego Zygmunta";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Kraszewskiego JÛzefa Ignacego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Lasoki";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Limanowskiego Boles≥awa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Lwowska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Majora Sucharskiego Henryka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Morcinka Gustawa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. Niemcewicza Jana Ursyna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. PamiÍci SybirakÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. £πkowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. £ukasiÒskiego Waleriana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-200";"ul. £ukasiewicza Ignacego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-205";"ul. Che≥moÒskiego JÛzefa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-205";"ul. Jasna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-205";"ul. Krzywa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-205";"ul. M≥ynarska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-205";"ul. Marynarska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Agrestowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Cybisa Jana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Dobra";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Drzyma≥y Wojciecha";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Dunikowskiego Xawerego od 2 do 14, od 1 do 21";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Elewatorowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. GÛreckiego Jerzego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Gaszowca Piotra";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Gierymskiego Aleksandra";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Gminna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Goltberga Artura";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Grottgera Artura";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Grzybowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Helwiga Marcina";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. JagielloÒska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. K≥odnicka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. K≥osowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Kasztanowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Kossaka Juliusza";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Kowalska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Krasickiego Ignacego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Krzyszowca Franciszka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Leúna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Malczewskiego Jacka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Micha≥owskiego Piotra";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Mikusza Bernarda";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Narutowicza Gabriela";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. OdyÒca Antoniego Edwarda";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Olszowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-206";"ul. Piaskowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-208";"Poczta ReÒska Wieú, ul. Kozielska 1";"ReÒska Wieú";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-214";"Poczta KÍdzierzyn-Koüle 001, ul. Krapkowicka 28";"PoborszÛw";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"Al. Armii Krajowej";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"Al. Jana Paw≥a II od 2 do 38, od 1 do 37";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"Al. Spokojna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"Poczta KÍdzierzyn-Koüle 004, ul. Judyma 2";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"Skrytki Pocztowe Poczta KÍdzierzyn-Koüle 004, ul. Judyma 2";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. 1 Maja";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. 11 Listopada";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. 9 Maja";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Akacjowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. AstrÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Ba≥tycka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Brzozowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Dπbrowskiego Henryka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Damrota Konstantego";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Dmowskiego Romana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Doktora Judyma";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Dworcowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Dzierøonia Jana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. G≥ogowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. G≥owackiego Aleksandra";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Gagarina Jurija";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Gajowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Grabowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Grunwaldzka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Harcerska";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Jaúminowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Jagodowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. JarzÍbinowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Jaworowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Jesionowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Jod≥owa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Kalinowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Kana≥owa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Koúcielna";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. KosmonautÛw";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. KrÛtka";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Leszczynowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Lipowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Lompy JÛzefa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Malinowa";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
"47-220";"ul. Matejki Jana";"KÍdzierzyn-Koüle";"opolskie";"kÍdzierzyÒsko-kozielski"
